14:47;temperature;-10
14:47;preassure;736
14:47;wind_speed;11
14:47;temperature;-15
14:47;preassure;744
14:47;wind_speed;11
14:47;temperature;-15
14:47;preassure;730
14:47;wind_speed;24
15:05;temperature;-12
15:05;preassure;749
15:05;wind_speed;22
15:05;temperature;-4
15:05;preassure;749
15:05;wind_speed;24
15:05;temperature;-20
15:05;preassure;733
15:05;wind_speed;6
15:05;temperature;-12
15:05;preassure;730
15:05;wind_speed;20
15:09;temperature;-6
15:09;preassure;744
15:09;wind_speed;28
15:09;temperature;-2
15:09;preassure;724
15:09;wind_speed;15
15:09;temperature;-4
15:09;preassure;733
15:09;wind_speed;15
15:09;temperature;-5
15:09;preassure;731
15:09;wind_speed;18
15:09;temperature;-16
15:09;preassure;725
15:09;wind_speed;8
15:09;temperature;-5
15:09;preassure;737
15:09;wind_speed;29
15:10;temperature;-20
15:10;preassure;748
15:10;wind_speed;3
15:10;temperature;-7
15:10;preassure;741
15:10;wind_speed;1
